TEMA,LOCAL,ESTADO,CATEGORIA,STATUS,DESCRICAO,CASOS_POR_DIA,DATA,ANO,MES,ANO_MES
3 MESES ESPERANDO PELA PANELA WOK E NÃO PRORROGARAM MAIS O PRAZO,ARACAJU - SE,SE,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROPAGANDA ENGANOSA']",RESPONDIDA,"Fiz a troca de pontos pela panela wok em 08/05 . Duas vezes prorrogaram o prazo pq não tinha a panela disponível. Hoje, 31/08 foi o prazo final. Mas a panela nunca chegou nas lojas nesses mais de 3 meses. Inúmeras vezes fui em lojas apenas para saber se tinha chegado, mas nunca chegaram. Tive que cancelar o resgate hoje para não perder os pontos. Moro em Brasilia. Tentei até numa loja do rio de janeiro, já que tinha uma mensagem que tinha disponível no RJ e SP, mas também não tinha! Quero minha panela. ",20,2022-01-09,2022,1,2022-01
RESGATE DE PONTOS INDEVIDO,CAMPINAS - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'QUALIDADE DO SERVIÇO PRESTADO', 'PONTOS']",RESPONDIDA,"Ontem, 27/08/2022, houve um resgate de 9.481 pontos do meu saldo stix em uma loja do Pão de Açucar de São Paulo, sendo que eu sou de Campinas. Fui tentar usar os pontos à tarde, pois tinha consultado o saldo pela manhã, e para  minha surpresa vi que restavam pouco mais de 600. Detalhe: É A  SEGUNDA VEZ QUE MEUS PONTOS SOMEM DA MINHA CONTA. Conversei no chat da Stix e me pediram 30 dias para me darem uma resposta, o que achei um absurdo.. primeiro porque não acho que sejam necessários 30 dias para verificarem que as respostas que me fizeram responder no chat estão corretas,  e segundo porque não me garantiram que os pontos serão devolvidos, apenas que me darão uma resposta. Não quero uma resposta, QUERO MEUS PONTOS DE VOLTA PARA USAR O MAIS BREVE POSSÍVEL. Além disso, fico muito preocupada de pensar que alguém tem meu cpf e meus dados (data de nascimento/telefone) para sair por aí digitando na boca do caixa do supermercado e sacando meus pontos.. poderiam repensar essa maneira de resgate não é, Stix??? QUEM ME GARANTE QUE NOS PRÓXIMOS MESES NÃO VAI ACONTECER DE NOVO?? MEUS DADOS ELES JÁ TÊM..",20,2022-01-09,2022,1,2022-01
TROCA FEITA POR OUTRA PESSOA,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'ESTORNO DO VALOR PAGO']",EM RÉPLICA,"Recebi um e-mail que tinha feito a troca dos meus pontos no programa Stix, por descontos no Pão de Açúcar e no Extra, mas não estive nos estabelecimentos citados e não usei meus pontos em troca de descontos!! Como isso aconteceu se para isso é Necessário mostrar documento de identidade?! Aguardo urgente uma solução e meus pontos de volta !!",20,2022-01-09,2022,1,2022-01
STIX USADO NÃO POR MIM,ANDRADINA - SP,SP,"['PÃO DE AÇÚCAR', 'QUALIDADE DO SERVIÇO PRESTADO']",EM RÉPLICA,Teve no dia 20/7 troca do meu stix na loja extra 1796 o valor[Editado pelo Reclame Aqui]8 stixNo dia 20/07  Pão de Açúcar 3095 11086 stixNo dia 20/7 3095 209 Stix Total 13013 stix Sendo que nunca estive nessas lojas E no APP do Pão de Açúcar nem tem essas compras para troca Quero de volta meus stix pois tenho direito delas pois não fiz nenhuma dessas trocas ,20,2022-01-09,2022,1,2022-01
PONTOS UTILIZADOS POR OUTRA PESSOA,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'ESTORNO DO VALOR PAGO', 'PONTOS']",EM RÉPLICA,"No dia 29/08/2022 entrei no sistema STIX para resgatar meus pontos. Quando entrei no site notei que havia algo errado, meus pontos haviam diminuído consideravelmente. Procurando entender o que havia acontecido, olhei o em histórico de compras e notei que constava um resgate de 9.813 pontos no mercado Pão de Açúcar localizado no bairro Saúde. Sabendo disso imediatamente entrei em contato com a STIX relatando a [Editado pelo Reclame Aqui], a atendente me disse que os pontos seriam estornados para a minha conta novamente e que eu não deveria me preocupar. Mas como não ficar preocupado? Alguém havia se passado por mim em um lugar que eu nunca fui. Questionei a atendente sobre o sistema de resgate dos pontos diretamente no caixa e fiquei abismado com a resposta! A pessoa simplesmente passa o CPF e os três dígitos do telefone cadastrado e nada mais! Hoje com o PIX qualquer um tem essa informação! Espero que a STIX tome providências com relação ao estorno dos meus pontos e melhore os critérios para resgate diretamente nos caixas, pelo menos peçam um documento de identificação STIX!",20,2022-01-09,2022,1,2022-01
USARAM MEUS PONTOS STIX,SÃO BERNARDO DO CAMPO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'QUALIDADE DO SERVIÇO PRESTADO', 'PONTOS']",RESPONDIDA,"Todo ano eu passo juntando pontos stix pra fazer a troca em setembro que é o mês que expira, pagamos mais caro por comprar nas lojas pão de açúcar e extra do que por exemplo nos atacados, visando juntar os pontos apenas para isso, porem ontem dia 29 de agosto ao fazer compras, quando abri o aplicativo me deparei com um saldo de pontos bem mais baixo, ocorre que gastaram no dia 24 de agosto em duas compras 9.402+7.104 pontos stix se passando por mim, vou anexar o que foi gasto e em qual loja foi gasto, com certeza se trata de vazamento de dados pelo tanto de reclamações que estou vendo, moro na região do ABC e foi usado em São Paulo, próximo a Lapa, aparece na nota dentro do aplicativo e qual loja foi gasto pra quem passar pelo mesmo problema puder denunciar também. Nunca comprei nessa loja nada, sugiro que daqui em diante o mínimo que vcs podem fazer é exigir documento para resgatar os stix seja no pão de açúcar seja no extra ou em qualquer lugar que aceita stix como pagamento. Cumpro todas as missões para acumular pontos, não é justo com ninguém o que está acontecendo. Espero que resolvam logo e extornem todos [Editado pelo Reclame Aqui].",20,2022-01-09,2022,1,2022-01
O PÃO DE AÇÚCAR FALHA POR DESLIGAR O FREEZER DE PRODUTOS CONGELADOS!,SÃO PAULO - SP,SP,"['SUPERMERCADOS', 'NÃO ENCONTREI MEU PROBLEMA', 'PRODUTOS ESTRAGADOS', 'PÃO DE AÇÚCAR']",RESPONDIDA,"Olá! Essa é a 2 vez seguida que compro sorvete na loja da Ricardo Jafet e descubro que o mesmo, em algum momento, foi descongelado! Além da consistência ressecada, ele fica aguado por causa do gelo que se forma! Esse eu acabei de abrir e como podem perceber, o volume/quantidade diminuiu por esse motivo! Dias após a 1 compra, cheguei a comentar com o responsável do setor sobre o que havia acontecido com os meus 2 potes de Ben&Jerry e ele disse que quando isso acontecer é para eu levar até a loja que ele troca!!! Que palhaçada! 1, como direi  às crianças que estão sempre aguardando ansiosas ao meu redor que terei que ir até o Pão de Açúcar? 2, o tempo + gasolina, quem me pagará? Sem contar a frustração, né?Enfim, não sei se é para economizar energia elétrica ou seja lá o que for, mas não é justo trair a confiança dos consumidores comercializando um produto sem as condições de consumo originais. Creio que isso seja um tremendo desrespeito ao cliente. Nem vou falar sobre as batatas MCaccain que vieram TODAS coladas como se fossem uma coisa só, ou seja, deu um trabalho danado para podermos consumir parte dela. Esse fato, prova mais uma vez, que a loja, ou a rede, tem o hábito de desligar o refrigerador. Na verdade, há tempos venho tendo essa experiência com nugget, pão de queijo e etc, mas agora não vou deixar passar!Espero que ressarçam esse produtos porque não é justo eu pagar o valor que pedem para produtos em estado inadequado.Grata pela atenção!",20,2022-01-09,2022,1,2022-01
VEÍCULO [EDITADO PELO RECLAME AQUI] NO ESTACIONAMENTO,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'NÃO ENCONTREI MEU PROBLEMA', 'HIPERMERCADOS', 'PROBLEMA COM ENTREGA DE PRODUTO-COMPRAS']",RESPONDIDA,"Tive meu veículo furtado dentro da loja do Bela Vista em 13/03/2022, desde então estou na saga da tentativa amigável de acordo com a empresa, onde efetivamos até a transferência do DUT do veículo para o mercado em 28/07/2022, sendo toda a documentação que eles exigiram assinatura em cartório conjunto com a gerente da loja, entregue em 05/08/2022. O Sr. Sidney analista sempre tratou do caso e desde então não responde mais nossas solicitações de contato pelo SAC e nem responde os e-mails para pagamento. O prazo dado já passou. Tenho mais de 20 protocolos em aberto, inúmeras gravações telefônicas de tentativa de resolução desse problema. Alguém poderia entrar em contato comigo para me posicionar sobre o pagamento?",20,2022-01-09,2022,1,2022-01
PONTOS DA PESQUISA,FORTALEZA - CE,CE,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'PROPAGANDA ENGANOSA', 'PONTOS']",RESPONDIDA,"No dia 25 de agosto, recebi uma pesquisa do Pão de Açúcar por e-mail (em anexo) dizendo que se respondesse receberia até 1 mil pontos no programa de relacionado. Depois de responder a extensa pesquisa, que demorou mais de 15 minutos recebi uma mensagem que tinha recebido 1 mil pontos. No dia 29 de agosto, enviei uma mensagem para o SAC do Pão de Açúcar perguntando quando receberia os pontos protocolada sob o número TKT3473042. Recebi uma resposta dois dias seguintes que deveria enviar um print de que teria recebido os 1 mil pontos se não o atendimento seria encerrado, o que foi feito neste dia 1 de setembro. Além desrespeitar o Código de Defesa do Consumidor, que inverte o ônus da prova para a empresa, o SAC ainda faz uma exigência esdrúxula de os consumidores tirarem prints das relações de negócio com o Grupo, demonstrando que não se deve confiar no Pão de Açúcar. Por isso, os consumidores precisam ficar atentos porque podem ser enganados como eu fui ao responderem a pesquisa pensando que seriam recompensados com pontos no programa de fidelidade da empresa.",20,2022-01-09,2022,1,2022-01
COMPRA NÃO ENTREGUE,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMA COM ENTREGA DE PRODUTO-COMPRAS']",RESOLVIDO,"Fiz uma compra hoje 01/09/2022 antes das 9 horas, pedido numero 9924724 para casa da minha mãe que tem 91 anos e Alzimer. Programei a entrega para hj das 14 as 16 horas. Agora são 18:25 já liguei 2 vezes reclamando e me informaram que após a reclamação eles tem 72 horas para entregar. Protocolos de reclamação 3487868 e 3488302. Tentei cancelar a compra e fui informado que não seria possível. Ressalto que a atendente não soube informar se a compra seria entregue. Absurdo. Esse atendimento está anos luz de ser pelo menos razoável. Nunca mais comprarei nada no pão de açucar mas quero meu dinheiro de volta.",20,2022-01-09,2022,1,2022-01
